method,target,seed,MAE,RMSE,R2
knn,res,0,0.05955091779095368,0.08668737017241798,0.9614434960268651
idw,res,0,0.06061656143869954,0.08740797036402406,0.9607998197347927
mlp,res,0,0.030430288044651102,0.04099394816420724,0.9913776531818679
knn,env,0,0.061987319581845286,0.08847238297395918,0.9648127043994013
idw,env,0,0.06358914580498323,0.08971837989832841,0.963814607751832
mlp,env,0,0.03796455109704468,0.04955639691703935,0.9889599793717695
knn,res,1,0.061021655783375,0.09158362631882681,0.9583495909042916
idw,res,1,0.06153078377939334,0.09159262915038965,0.9583414018848594
mlp,res,1,0.033261031733471114,0.04406385440033843,0.9903584120528034
knn,env,1,0.06377936325923542,0.09330586657698933,0.9613684322321371
idw,env,1,0.06452221329773548,0.09362426788037903,0.9611043260379248
mlp,env,1,0.03787734551658038,0.050062158216757094,0.9888790069668391
knn,res,2,0.06142914520436989,0.09087154749957307,0.9592747431035054
idw,res,2,0.06298411806689008,0.09166875528577309,0.9585570508098419
mlp,res,2,0.03413987580901992,0.04555689824895093,0.9897643299126438
knn,env,2,0.0643243718306934,0.09382550580064825,0.961237376477586
idw,env,2,0.06601800449194056,0.09501144479404718,0.9602512771514214
mlp,env,2,0.037010075038313384,0.04882882245448049,0.9895015825745266
knn,res,3,0.06162442766602782,0.09036561965281913,0.9586560830808446
idw,res,3,0.06184168772395437,0.08969375891739885,0.9592685747207614
mlp,res,3,0.03252897812756393,0.04312522614780297,0.9905839679439574
knn,env,3,0.06456084239732209,0.09266139372647962,0.9614677549349515
idw,env,3,0.06528917753041268,0.09298723785005585,0.9611962808969059
mlp,env,3,0.03779061537739922,0.050009035747891485,0.9887766212548881
knn,res,4,0.06037084413454845,0.0889297498987623,0.9610073091235173
idw,res,4,0.06154947571560793,0.08997786411918426,0.9600827674277479
mlp,res,4,0.03195719506724748,0.042751281171944704,0.9909887023844038
knn,env,4,0.06310842157868059,0.09094233023967217,0.9634156403613504
idw,env,4,0.06474582512638408,0.09286506670622366,0.9618523269650627
mlp,env,4,0.03749764347343563,0.048896957188540896,0.989423865383314
